week,date,winner,loser,point_diff,year
1,2015-09-03,Arizona,UTSA,10,2015
1,2015-09-03,Ball St,Virginia Military Institute,12,2015
1,2015-09-03,UConn,Villanova,5,2015
1,2015-09-03,Duke,Tulane,30,2015
1,2015-09-03,Florida Intl,UCF,1,2015
1,2015-09-03,Fresno St,Abilene Christian,21,2015
1,2015-09-03,Georgia Tech,Alcorn State,63,2015
1,2015-09-03,Hawai'i,Colorado,8,2015
1,2015-09-03,Nevada,California-Davis,14,2015
1,2015-09-03,Ohio,Idaho,17,2015
1,2015-09-03,Oklahoma St,C Michigan,11,2015
1,2015-09-03,San Jose St,New Hampshire,30,2015
1,2015-09-03,South Carolina,North Carolina,4,2015
1,2015-09-03,TCU,Minnesota,6,2015
1,2015-09-03,Utah,Michigan,7,2015
1,2015-09-03,Utah St,Southern Utah,3,2015
1,2015-09-03,Wake Forest,Elon,38,2015
1,2015-09-03,W Kentucky,Vanderbilt,2,2015
1,2015-09-04,Baylor,SMU,35,2015
1,2015-09-04,Boise St,Washington,3,2015
1,2015-09-04,Charlotte,Georgia St,3,2015
1,2015-09-04,Fordham,Army,2,2015
1,2015-09-04,Michigan St,W Michigan,13,2015
1,2015-09-04,Oregon St,Weber State,19,2015
1,2015-09-04,Syracuse,Rhode Island,47,2015
1,2015-09-05,Air Force,Morgan State,56,2015
1,2015-09-05,Alabama,Wisconsin,18,2015
1,2015-09-05,App State,Howard,49,2015
1,2015-09-05,Arkansas,UTEP,35,2015
1,2015-09-05,Auburn,Louisville,7,2015
1,2015-09-05,Boston College,Maine,21,2015
1,2015-09-05,BYU,Nebraska,5,2015
1,2015-09-05,Buffalo,Albany,37,2015
1,2015-09-05,California,Grambling State,59,2015
1,2015-09-05,Cincinnati,Alabama A&M,42,2015
1,2015-09-05,Clemson,Wofford,39,2015
1,2015-09-05,Colorado St,Savannah State,52,2015
1,2015-09-05,E Carolina,Towson,8,2015
1,2015-09-05,Florida,New Mexico St,48,2015
1,2015-09-05,Florida St,Texas St,43,2015
1,2015-09-05,Georgia,UL Monroe,37,2015
1,2015-09-05,Houston,Tennessee Tech,28,2015
1,2015-09-05,Illinois,Kent St,49,2015
1,2015-09-05,Indiana,Southern Illinois,1,2015
1,2015-09-05,Iowa,Illinois State,17,2015
1,2015-09-05,Iowa St,Northern Iowa,24,2015
1,2015-09-05,Kansas St,South Dakota,34,2015
1,2015-09-05,Kentucky,Louisiana,7,2015
1,2015-09-05,Louisiana Tech,Southern,47,2015
1,2015-09-05,Maryland,Richmond,29,2015
1,2015-09-05,Memphis,Missouri St,56,2015
1,2015-09-05,Miami,Bethune-Cookman,45,2015
1,2015-09-05,Miami OH,Presbyterian,19,2015
1,2015-09-05,Middle Tenn,Jackson State,56,2015
1,2015-09-05,Mississippi,Tennessee-Martin,73,2015
1,2015-09-05,Mississippi St,Southern Miss,18,2015
