Team,Rating
Ohio St,32.8
Indiana,32.5
Oregon,27.4
Alabama,26.7
Notre Dame,26.1
Texas Tech,24.9
Utah,24.9
Georgia,23.3
Texas A&M,22.7
USC,21.3
Miami,21.2
Texas,20.9
Mississippi,19.9
Oklahoma,19.3
Iowa,18.3
Vanderbilt,17.6
BYU,17.5
Michigan,17.4
Tennessee,17.4
LSU,16.6
Florida St,16.5
Missouri,16.4
Penn St,15.9
Florida,15.4
Washington,15.4
Illinois,14.8
Auburn,13.8
Nebraska,13.7
Louisville,13.2
Pittsburgh,13.1
Cincinnati,11.8
Clemson,11.8
S Florida,11.5
Georgia Tech,11.1
SMU,10.6
TCU,10.4
Mississippi St,10.4
Arizona,9.8
South Carolina,9.8
Arkansas,9.7
Arizona St,9.6
Iowa St,9.6
Kansas St,9.6
Baylor,8.9
Virginia,8.9
Duke,8.2
J Madison,7.5
Kansas,7.3
N Texas,6.6
Kentucky,6.2
Memphis,5.6
NC State,5.3
UCF,5.2
Houston,5.1
E Carolina,5.0
Boise St,4.7
Minnesota,4.6
Northwestern,4.4
Rutgers,3.1
Toledo,3.0
Wisconsin,2.2
San Diego St,2.1
Maryland,2.0
Michigan St,1.8
Tulane,1.4
UCLA,0.5
Old Dominion,0.5
Wake Forest,-0.2
Colorado,-0.5
West Virginia,-0.7
Navy,-1.5
Purdue,-1.6
Virginia Tech,-1.7
Syracuse,-2.1
UConn,-2.3
Washington St,-2.4
UTSA,-2.5
California,-3.2
Ohio,-3.7
North Carolina,-3.9
Boston College,-3.9
Army,-4.0
Fresno St,-4.1
Louisiana Tech,-4.5
Stanford,-4.8
UNLV,-4.9
Southern Miss,-5.6
New Mexico,-5.8
Texas St,-6.7
Miami OH,-7.0
Hawai'i,-7.2
Troy,-7.2
Kennesaw St,-7.5
W Michigan,-7.6
Utah St,-7.6
Wyoming,-7.8
Temple,-8.1
Liberty,-8.1
Marshall,-8.2
Oregon St,-8.2
San Jose St,-8.3
Air Force,-8.4
W Kentucky,-9.2
Jacksonville St,-10.2
Buffalo,-10.4
Georgia So,-10.8
Colorado St,-10.9
C Michigan,-11.0
Arkansas St,-11.0
Louisiana,-11.1
S Alabama,-11.5
App State,-11.9
Coastal Car,-12.8
Oklahoma St,-13.9
Bowling Green,-14.1
Florida Atlantic,-14.2
Missouri St,-14.4
Delaware,-14.8
Tulsa,-15.6
UAB,-15.7
UTEP,-15.7
Rice,-16.7
Florida Intl,-16.7
N Illinois,-17.4
E Michigan,-17.8
Nevada,-18.0
New Mexico St,-18.3
Akron,-18.6
Middle Tenn,-19.7
Georgia St,-20.6
UL Monroe,-20.8
Ball St,-21.1
Kent St,-22.2
Charlotte,-25.5
Sam Houston,-25.9
UMass,-30.8
