1,2
Ohio St,8.1
Texas Tech,13.2
Indiana,13.4
Oregon,13.9
Iowa,14.5
San Diego St,14.8
Utah,14.9
Toledo,14.9
Oklahoma,15.5
Texas,16.4
Miami,16.5
Alabama,17.2
Michigan,17.2
J Madison,17.8
Notre Dame,18.8
W Michigan,18.9
E Carolina,19.1
LSU,20.1
Auburn,20.4
BYU,20.6
Northwestern,20.6
Missouri,20.8
Army,21.0
SMU,21.2
Washington,21.3
Louisiana Tech,21.3
Nebraska,21.3
Georgia,21.5
Wake Forest,21.6
UCF,21.6
USC,21.8
Wyoming,21.9
Mississippi,22.0
Arizona,22.0
Kennesaw St,22.1
Ohio,22.2
Virginia,22.2
Louisville,22.3
Memphis,22.3
Wisconsin,22.3
Clemson,22.4
N Illinois,22.8
Old Dominion,22.8
Texas A&M,22.9
Buffalo,23.1
Iowa St,23.1
North Carolina,23.3
Florida St,23.3
Pittsburgh,23.4
South Carolina,23.6
Fresno St,23.6
Arizona St,24.3
Minnesota,24.3
Maryland,24.3
Vanderbilt,24.3
Miami OH,24.3
Liberty,24.4
Penn St,24.4
Georgia Tech,24.5
Houston,24.6
Kentucky,24.6
Cincinnati,24.6
Washington St,24.6
Southern Miss,24.8
W Kentucky,24.9
C Michigan,25.0
TCU,25.0
Boise St,25.3
Florida,25.3
S Florida,25.5
Troy,25.6
Hawai'i,26.0
UConn,26.2
Tulane,26.2
New Mexico,26.4
Kansas St,26.8
Arkansas St,26.8
UTEP,26.9
N Texas,27.1
Kansas,27.2
California,27.7
Ball St,27.8
Missouri St,27.9
Bowling Green,27.9
Jacksonville St,28.0
New Mexico St,28.0
Illinois,28.8
Purdue,28.9
Temple,28.9
Stanford,29.1
Rice,29.1
App State,29.1
Mississippi St,29.2
Navy,29.3
Colorado,30.0
San Jose St,30.1
Colorado St,30.3
Akron,30.6
Duke,30.6
UCLA,30.7
S Alabama,30.8
Oregon St,30.8
Coastal Car,31.5
UNLV,31.6
Middle Tenn,31.8
Nevada,31.8
E Michigan,32.1
Baylor,32.1
Rutgers,32.2
Syracuse,32.3
Michigan St,32.4
Florida Intl,32.5
West Virginia,32.6
Louisiana,32.6
Virginia Tech,32.6
Utah St,32.6
Tennessee,32.9
Delaware,33.0
NC State,33.1
Tulsa,33.8
UTSA,34.6
Air Force,35.5
Marshall,36.0
Georgia So,36.1
Kent St,36.3
UAB,36.5
Arkansas,36.6
UL Monroe,37.0
Florida Atlantic,37.1
Boston College,37.2
Sam Houston,38.2
Texas St,38.8
UMass,38.8
Charlotte,38.9
Oklahoma St,42.8
Georgia St,43.1
