Team,Rating
Notre Dame,19.6
Florida St,15.3
Alabama,15.3
LSU,13.0
Texas,13.0
Ohio St,11.8
Clemson,11.8
S Florida,11.5
Georgia,10.2
Ohio,10.2
Tennessee,9.8
Texas A&M,9.3
Michigan,9.2
Florida,9.2
Miami,8.9
Mississippi,8.8
Miami OH,7.7
Oklahoma,7.3
Arkansas,6.1
Baylor,5.7
Virginia Tech,5.6
Georgia Tech,5.3
Kansas,5.1
Kentucky,3.9
W Michigan,3.5
Cincinnati,3.3
Oregon St,3.3
Nebraska,3.3
Auburn,3.2
Vanderbilt,3.1
Colorado,2.7
Wisconsin,2.5
Old Dominion,1.7
Missouri,1.4
Stanford,1.3
Duke,1.3
Northwestern,1.3
Arizona St,1.1
South Carolina,0.7
Kansas St,0.5
NC State,0.3
Syracuse,-0.1
Oregon,-0.3
Iowa St,-0.6
C Michigan,-0.7
Georgia So,-0.8
West Virginia,-0.9
UCLA,-1.4
Tulane,-1.4
Iowa,-1.6
Mississippi St,-1.7
J Madison,-2.0
Illinois,-2.1
Toledo,-2.4
Boston College,-2.4
Minnesota,-2.4
Texas St,-2.4
Missouri St,-2.5
Indiana,-2.7
California,-2.8
S Alabama,-2.9
UTSA,-3.3
Boise St,-3.5
USC,-3.7
SMU,-4.1
Fresno St,-4.2
Utah St,-4.2
Pittsburgh,-4.6
Jacksonville St,-4.9
Utah,-4.9
TCU,-5.1
Louisville,-5.1
New Mexico,-5.1
Troy,-5.4
Virginia,-5.7
Army,-5.8
E Carolina,-5.9
San Jose St,-6.1
Houston,-6.2
Arizona,-6.5
Rutgers,-6.8
Arkansas St,-6.8
Colorado St,-7.1
Oklahoma St,-7.4
BYU,-7.4
Michigan St,-7.6
Louisiana Tech,-7.6
UConn,-7.6
UTEP,-7.8
Sam Houston,-7.8
Penn St,-8.3
Bowling Green,-8.6
Purdue,-8.7
North Carolina,-9.9
Delaware,-10.5
Florida Intl,-11.0
Texas Tech,-11.1
Louisiana,-11.1
Akron,-11.2
Liberty,-11.2
W Kentucky,-11.3
Memphis,-11.4
Georgia St,-11.5
Washington,-11.6
Southern Miss,-11.6
Rice,-11.7
Buffalo,-12.1
Kennesaw St,-12.1
Hawai'i,-12.1
Middle Tenn,-12.2
Coastal Car,-12.5
E Michigan,-12.5
Wyoming,-12.7
Temple,-13.1
Marshall,-13.1
Wake Forest,-13.2
Florida Atlantic,-13.3
Air Force,-13.4
N Illinois,-13.5
Washington St,-13.5
UCF,-13.8
UNLV,-13.8
N Texas,-13.9
Ball St,-14.4
Tulsa,-15.7
Navy,-15.8
Nevada,-16.3
UL Monroe,-16.5
Kent St,-16.8
Maryland,-17.4
App State,-17.5
UAB,-17.5
Charlotte,-18.0
New Mexico St,-18.2
UMass,-19.0
San Diego St,-20.1
