1,2
N Texas,43.6
Indiana,43.1
Texas Tech,40.6
Tennessee,40.0
USC,39.8
S Florida,39.4
Oregon,38.7
Texas A&M,37.8
Notre Dame,37.4
Pittsburgh,37.0
Memphis,36.8
UNLV,36.7
Utah,36.6
Vanderbilt,36.6
Mississippi,36.2
Florida St,34.7
Alabama,34.4
Virginia,34.1
UConn,34.1
Duke,34.0
Texas St,34.0
Marshall,33.6
TCU,33.6
Arkansas,33.4
J Madison,33.3
Georgia,33.1
Georgia Tech,33.1
Baylor,32.8
Navy,32.3
Southern Miss,32.3
Arizona,32.1
Ohio St,31.9
Missouri,31.7
Air Force,31.7
BYU,31.6
Louisville,31.3
Cincinnati,31.3
UTSA,30.9
Iowa,30.9
Illinois,30.8
Washington,30.6
Hawai'i,30.5
Miami,30.4
New Mexico,30.0
Boise St,29.8
Nebraska,29.8
Houston,29.8
Texas,29.6
Mississippi St,29.5
Kansas,29.5
Toledo,29.5
NC State,29.5
SMU,29.4
Louisiana Tech,29.3
Utah St,29.1
Old Dominion,29.1
Kansas St,28.8
E Carolina,28.7
Penn St,28.6
Temple,28.5
Delaware,28.4
Clemson,28.4
Oklahoma,28.1
Michigan,28.1
Jacksonville St,27.7
App State,27.4
W Kentucky,27.0
San Diego St,27.0
Florida Atlantic,26.6
Georgia So,26.3
Kennesaw St,26.1
San Jose St,26.1
Tulane,25.9
Ohio,25.8
Troy,25.6
Rutgers,25.5
UAB,25.0
Iowa St,24.5
E Michigan,24.3
Miami OH,23.8
Michigan St,23.6
Liberty,23.6
Maryland,23.4
Coastal Car,23.4
California,23.3
S Alabama,23.3
Louisiana,23.1
Arizona St,23.0
Army,22.9
Virginia Tech,22.6
Fresno St,22.4
Kentucky,22.4
Auburn,22.3
Buffalo,22.3
Colorado,22.0
New Mexico St,21.7
Wake Forest,21.7
UCF,21.4
Arkansas St,21.3
LSU,21.1
C Michigan,21.0
Washington St,20.8
Purdue,20.6
West Virginia,20.5
UCLA,20.4
Tulsa,20.1
Missouri St,20.0
Boston College,19.8
Northwestern,19.7
Middle Tenn,19.6
Florida Intl,19.4
W Michigan,19.3
Colorado St,18.9
Rice,18.6
Minnesota,18.5
Syracuse,18.4
Wyoming,18.0
Georgia St,18.0
Akron,18.0
UTEP,17.9
Stanford,17.8
Kent St,17.6
Florida,17.4
South Carolina,17.4
Bowling Green,17.3
Oregon St,16.8
Sam Houston,16.6
North Carolina,16.3
UL Monroe,14.4
Ball St,14.3
Charlotte,14.0
Oklahoma St,13.8
Nevada,13.1
Wisconsin,12.5
N Illinois,11.4
UMass,9.5
