week,date,winner,loser,point_diff,year
1,2005-09-01,Arizona St,Temple,47,2005
1,2005-09-01,Cincinnati,E Michigan,2,2005
1,2005-09-01,UConn,Buffalo,38,2005
1,2005-09-01,Marshall,William & Mary,12,2005
1,2005-09-01,Minnesota,Tulsa,31,2005
1,2005-09-01,Northwestern State,UL Monroe,4,2005
1,2005-09-01,Oregon,Houston,14,2005
1,2005-09-01,South Carolina,UCF,9,2005
1,2005-09-01,Toledo,Western Illinois,48,2005
1,2005-09-01,Vanderbilt,Wake Forest,4,2005
1,2005-09-01,Washington St,Idaho,12,2005
1,2005-09-02,Indiana,C Michigan,7,2005
1,2005-09-02,Utah,Arizona,3,2005
1,2005-09-03,Air Force,Washington,3,2005
1,2005-09-03,Alabama,Middle Tenn,19,2005
1,2005-09-03,Arkansas,Missouri St,32,2005
1,2005-09-03,Baylor,SMU,5,2005
1,2005-09-03,Boston College,BYU,17,2005
1,2005-09-03,California,Sacramento State,38,2005
1,2005-09-03,Clemson,Texas A&M,1,2005
1,2005-09-03,Colorado,Colorado St,3,2005
1,2005-09-03,E Carolina,Duke,3,2005
1,2005-09-03,Florida,Wyoming,18,2005
1,2005-09-03,Georgia,Boise St,35,2005
1,2005-09-03,Georgia Tech,Auburn,9,2005
1,2005-09-03,Illinois,Rutgers,3,2005
1,2005-09-03,Iowa,Ball St,56,2005
1,2005-09-03,Iowa St,Illinois State,11,2005
1,2005-09-03,Kansas,Florida Atlantic,11,2005
1,2005-09-03,Kansas St,Florida Intl,14,2005
1,2005-09-03,Maryland,Navy,3,2005
1,2005-09-03,Michigan,N Illinois,16,2005
1,2005-09-03,Michigan St,Kent St,35,2005
1,2005-09-03,Mississippi St,Murray State,32,2005
1,2005-09-03,Missouri,Arkansas St,27,2005
1,2005-09-03,Nebraska,Maine,18,2005
1,2005-09-03,Northwestern,Ohio,24,2005
1,2005-09-03,Notre Dame,Pittsburgh,21,2005
1,2005-09-03,Ohio St,Miami OH,20,2005
1,2005-09-03,Oklahoma St,Montana State,5,2005
1,2005-09-03,Oregon St,Portland State,27,2005
1,2005-09-03,Penn St,S Florida,10,2005
1,2005-09-03,San Jose St,Eastern Washington,11,2005
1,2005-09-03,USC,Hawai'i,46,2005
1,2005-09-03,Tennessee,UAB,7,2005
1,2005-09-03,Texas,Louisiana,57,2005
1,2005-09-03,TCU,Oklahoma,7,2005
1,2005-09-03,UTEP,New Mexico St,17,2005
1,2005-09-03,Troy,Cal Poly,17,2005
1,2005-09-03,UCLA,San Diego St,23,2005
1,2005-09-03,Virginia,W Michigan,12,2005
1,2005-09-03,Wisconsin,Bowling Green,14,2005
1,2005-09-04,Louisville,Kentucky,7,2005
1,2005-09-04,Virginia Tech,NC State,4,2005
1,2005-09-04,West Virginia,Syracuse,8,2005
1,2005-09-05,Florida St,Miami,3,2005
1,2005-09-05,Mississippi,Memphis,4,2005
1,2005-09-05,New Mexico,UNLV,2,2005
2,2005-09-08,Oklahoma St,Florida Atlantic,20,2005
2,2005-09-09,Ohio,Pittsburgh,6,2005
2,2005-09-09,Washington St,Nevada,34,2005
2,2005-09-10,Air Force,San Diego St,12,2005
2,2005-09-10,Alabama,Southern Miss,9,2005
2,2005-09-10,UAB,Troy,20,2005
2,2005-09-10,Arizona,Northern Arizona,19,2005
2,2005-09-10,Arkansas St,Tennessee-Martin,49,2005
2,2005-09-10,Auburn,Mississippi St,28,2005
2,2005-09-10,Baylor,Samford,34,2005
