team,L3,Year
Nevada,437.7,341.1
Georgia Tech,392.7,312.7
Navy,304.3,286.6
Fresno St,193.3,243.5
UAB,265.3,241.1
Air Force,228.3,240.7
TCU,276.3,236.6
Oregon,295.3,233.6
N Illinois,298.3,227.8
Florida,202.3,224.6
Auburn,169.0,224.2
Mississippi St,206.0,216.9
Army,190.0,216.3
Alabama,192.0,213.0
Stanford,213.7,211.0
Wisconsin,215.7,199.1
Virginia Tech,170.7,195.9
Boise St,162.0,192.9
Ohio St,269.3,191.4
Pittsburgh,228.0,187.0
Utah,167.7,186.9
Kentucky,218.7,186.6
USC,171.0,186.1
Texas A&M,240.0,184.6
N Texas,175.3,184.4
Ball St,301.7,183.8
Iowa St,120.0,183.4
Oklahoma St,220.0,180.4
Michigan,146.0,180.2
West Virginia,175.0,179.8
Southern Miss,235.3,179.0
W Kentucky,202.3,178.6
Arizona,213.3,177.9
Kansas St,206.3,173.3
Temple,236.3,172.6
Louisiana Tech,158.7,172.1
Utah St,174.0,171.4
Middle Tenn,284.3,170.4
C Michigan,180.0,169.1
S Florida,159.7,168.3
Tennessee,137.3,168.2
BYU,169.0,165.0
UConn,144.0,164.0
Illinois,223.3,163.6
Mississippi,201.0,161.9
Penn St,135.0,158.8
Idaho,151.3,158.0
California,135.0,158.0
UL Monroe,133.3,152.8
UTEP,207.7,151.1
Buffalo,194.3,151.0
Houston,175.0,150.9
Tulsa,170.0,150.0
Clemson,173.3,149.5
Cincinnati,180.0,149.4
Florida Atlantic,161.0,147.0
Texas,99.0,145.9
Nebraska,133.3,145.6
Louisville,169.0,145.4
Troy,152.0,145.1
Colorado St,177.3,144.9
Marshall,83.0,144.9
Toledo,140.3,144.2
Louisiana,145.3,143.5
Memphis,154.7,143.5
Florida St,149.7,142.6
Vanderbilt,152.7,142.4
E Carolina,186.0,139.5
Notre Dame,140.3,138.1
LSU,161.3,136.6
Purdue,135.7,135.8
Michigan St,142.7,134.2
Boston College,171.0,133.9
Arkansas,137.7,133.8
NC State,135.7,131.4
Oregon St,130.3,128.4
Miami,157.0,126.8
New Mexico St,117.3,125.6
Washington,126.7,122.8
Iowa,115.3,122.8
Wake Forest,103.3,121.8
Oklahoma,109.7,121.8
North Carolina,203.7,121.4
E Michigan,114.0,121.2
Indiana,91.7,120.9
Arizona St,97.3,118.0
Kent St,80.3,115.6
UNLV,167.3,115.1
UCF,115.7,114.5
Wyoming,87.7,114.0
Syracuse,159.7,113.3
Hawai'i,190.3,112.6
Rutgers,85.3,112.2
Northwestern,137.0,111.8
Ohio,124.0,111.6
South Carolina,79.0,111.4
Georgia,127.7,109.6
Kansas,70.7,102.1
Tulane,82.3,101.6
W Michigan,95.7,101.2
Arkansas St,126.0,101.1
Missouri,89.3,100.4
UCLA,66.7,100.0
Minnesota,87.3,98.6
Maryland,100.3,94.3
Florida Intl,107.7,92.8
New Mexico,86.3,92.8
Baylor,45.0,91.5
Virginia,64.3,91.0
SMU,122.7,90.0
Akron,66.3,86.9
Rice,86.3,86.6
Colorado,70.7,86.2
Texas Tech,64.7,77.8
Washington St,72.0,74.2
Miami OH,44.3,71.5
Bowling Green,49.0,63.2
San Diego St,71.3,59.4
Duke,38.7,51.7
San Jose St,82.0,49.1
