team,L3,Year
Florida,4.0,4.0
Georgia,16.0,16.0
Fresno St,25.0,25.0
LSU,39.0,39.0
Mississippi St,41.0,41.0
Auburn,43.0,43.0
Ohio St,44.0,44.0
Colorado,49.0,49.0
Cincinnati,52.0,52.0
Oregon,53.0,53.0
Syracuse,55.0,55.0
South Carolina,67.0,67.0
TCU,73.0,73.0
SMU,78.0,78.0
Oklahoma,80.0,80.0
Arizona,82.0,82.0
Utah,82.0,82.0
Texas,88.0,88.0
Michigan St,89.0,89.0
Alabama,89.0,89.0
UAB,93.0,93.0
Illinois,98.0,98.0
Notre Dame,102.0,102.0
Toledo,107.0,107.0
Troy,108.0,108.0
Texas Tech,109.0,109.0
Wisconsin,112.0,112.0
Oklahoma St,112.0,112.0
Colorado St,115.0,115.0
Pittsburgh,122.0,122.0
BYU,128.0,128.0
Michigan,138.0,138.0
Vanderbilt,145.0,145.0
N Illinois,145.0,145.0
Minnesota,146.0,146.0
USC,148.0,148.0
Washington,148.0,148.0
Miami OH,154.0,154.0
Tulsa,155.0,155.0
Iowa St,156.0,156.0
Purdue,157.0,157.0
North Carolina,162.0,162.0
E Carolina,180.0,180.0
Nebraska,181.0,181.0
Louisiana,184.0,184.0
Kentucky,190.0,190.0
Northwestern,192.0,192.0
Kansas St,193.0,193.0
Clemson,193.0,193.0
Rice,197.0,197.0
Utah St,199.0,199.0
Memphis,199.0,199.0
Missouri,200.0,200.0
Akron,204.0,204.0
Bowling Green,207.0,207.0
Southern Miss,224.0,224.0
Louisville,232.0,232.0
Hawai'i,246.0,246.0
N Texas,246.0,246.0
San Jose St,261.0,261.0
Oregon St,278.0,278.0
UNLV,278.0,278.0
Marshall,281.0,281.0
Middle Tenn,285.0,285.0
Army,286.0,286.0
W Kentucky,289.0,289.0
UConn,289.0,289.0
Washington St,293.0,293.0
W Michigan,299.0,299.0
E Michigan,312.0,312.0
UCLA,315.0,315.0
Florida Atlantic,345.0,345.0
Arkansas St,367.0,367.0
New Mexico,369.0,369.0
