team,L3,Year
TCU,5.3,8.9
Alabama,18.3,12.5
Boise St,11.3,13.4
Ohio St,13.7,13.6
Utah,11.7,14.1
Iowa,21.7,15.6
West Virginia,13.7,15.6
Arizona,14.0,15.6
LSU,22.3,16.4
Missouri,22.3,16.7
Mississippi St,16.0,17.1
Temple,9.0,17.6
Clemson,12.0,17.7
UCF,21.0,17.9
Illinois,16.3,18.7
N Illinois,14.0,18.9
Florida St,21.3,19.3
S Florida,21.0,19.3
Pittsburgh,12.7,19.4
Louisville,18.3,19.6
South Carolina,20.7,19.6
Syracuse,22.0,19.8
Virginia Tech,16.3,19.9
Nebraska,26.0,19.9
Oklahoma,15.3,20.0
Florida,24.7,20.3
Oregon,22.7,20.4
Georgia,21.7,20.8
Penn St,28.3,20.9
Kent St,18.0,21.1
North Carolina,19.7,21.3
Texas,23.7,21.4
Michigan St,23.3,21.6
Miami,15.7,21.7
Navy,24.0,21.9
Stanford,21.0,21.9
Maryland,22.0,22.1
Rutgers,28.3,22.2
Nevada,27.3,22.6
Air Force,31.0,22.6
Northwestern,24.0,22.7
Wisconsin,23.7,22.7
Ohio,18.0,22.9
San Diego St,27.7,23.1
Texas A&M,22.3,23.6
Boston College,19.3,23.6
Army,29.3,23.9
UConn,22.0,24.0
UTEP,23.7,24.0
Hawai'i,12.7,24.3
Auburn,30.3,24.3
Notre Dame,27.7,24.9
N Texas,21.3,25.0
Arkansas,34.3,25.0
California,33.3,25.1
Toledo,17.3,25.2
Florida Atlantic,22.0,25.6
Georgia Tech,20.7,25.6
Baylor,29.7,25.6
Kansas St,26.0,25.9
Middle Tenn,31.3,26.0
NC State,24.7,26.1
Arizona St,21.3,26.2
C Michigan,25.7,26.3
Florida Intl,17.3,26.3
Cincinnati,32.0,26.9
SMU,30.0,27.0
BYU,24.0,27.0
Miami OH,21.0,27.2
Oregon St,23.0,27.4
Purdue,36.7,27.7
Colorado,33.7,27.8
Troy,21.7,27.9
USC,34.7,27.9
Vanderbilt,37.7,27.9
Virginia,28.0,28.0
Houston,23.7,28.0
Southern Miss,37.7,28.3
Fresno St,25.7,28.3
Oklahoma St,27.3,28.5
Idaho,35.7,28.7
Michigan,37.7,29.0
W Michigan,27.3,29.4
UCLA,41.3,30.4
Arkansas St,23.7,30.4
Tulsa,24.0,30.7
Kentucky,32.0,30.8
UL Monroe,27.3,30.9
Indiana,32.3,31.1
UAB,28.0,31.4
Mississippi,37.3,32.3
Marshall,28.0,32.6
Texas Tech,34.3,32.6
Louisiana Tech,30.0,32.7
Tulane,35.7,33.0
Colorado St,27.7,33.2
Minnesota,37.7,33.3
Iowa St,29.7,33.4
Wyoming,34.3,33.5
Ball St,35.0,33.7
Buffalo,36.0,33.9
Bowling Green,24.0,33.9
Washington,39.7,34.1
Tennessee,40.0,34.9
Rice,38.7,35.4
Utah St,41.7,36.3
W Kentucky,29.7,36.4
New Mexico St,32.3,36.9
Kansas,44.0,37.0
E Carolina,28.7,37.0
UNLV,46.7,37.9
Akron,41.3,39.1
Duke,34.3,39.3
San Jose St,36.7,39.4
Louisiana,41.0,39.6
Memphis,51.0,41.5
Washington St,34.7,42.4
New Mexico,28.0,43.4
E Michigan,42.7,43.8
Wake Forest,47.3,44.7
