team,L3,Year
TCU,148.0,132.5
Air Force,134.7,148.3
Nebraska,116.7,149.3
Miami,126.0,154.4
Ohio St,174.3,156.3
Syracuse,106.3,160.1
Texas,249.0,161.6
Louisville,133.7,164.7
Boise St,183.3,166.2
LSU,190.3,170.2
West Virginia,216.7,173.2
Florida,146.7,174.5
Temple,146.7,178.7
Alabama,191.3,181.6
N Illinois,117.3,184.3
Buffalo,153.0,184.7
Pittsburgh,148.0,186.1
Florida Atlantic,225.0,186.3
Minnesota,155.7,187.0
Penn St,183.0,187.8
BYU,219.3,187.8
Middle Tenn,155.3,188.7
Kentucky,221.0,188.8
Arkansas,218.7,189.1
Georgia,156.0,192.3
Washington,130.0,193.7
Tulane,215.7,193.9
Army,187.7,194.1
California,209.0,196.3
Clemson,196.0,197.1
Virginia Tech,206.7,198.4
Virginia,207.7,198.7
Wisconsin,182.0,198.8
North Carolina,225.0,201.9
Florida Intl,214.3,202.0
W Kentucky,229.7,203.0
S Florida,158.7,203.0
Kent St,149.7,205.1
Missouri,153.3,205.9
Kansas St,198.0,206.0
Notre Dame,140.0,206.4
Illinois,259.7,206.6
Stanford,188.3,208.3
Miami OH,178.0,208.8
Wyoming,162.3,209.3
N Texas,173.7,209.6
UNLV,196.3,211.5
Rutgers,263.3,213.0
UConn,226.3,213.1
Utah,295.0,215.5
UCLA,205.3,215.6
UCF,242.7,216.0
C Michigan,212.3,216.5
Hawai'i,257.3,216.6
Florida St,190.7,217.2
Oklahoma,175.0,217.5
Arizona,206.0,218.5
New Mexico,178.0,218.8
Georgia Tech,278.3,219.5
UL Monroe,196.3,219.9
San Diego St,256.3,221.4
Michigan St,230.7,222.1
E Michigan,224.3,223.5
Bowling Green,244.0,224.3
Iowa,226.3,224.6
UTEP,277.0,224.9
Ball St,160.7,225.2
Boston College,250.0,225.5
Colorado St,226.7,225.9
Purdue,269.7,226.1
Vanderbilt,181.3,226.3
Iowa St,172.3,226.3
SMU,264.0,226.3
Oregon,214.7,227.3
Houston,273.3,229.5
W Michigan,248.3,229.6
Arkansas St,193.7,230.2
Fresno St,253.0,231.5
Wake Forest,278.7,233.3
Kansas,251.3,234.1
Idaho,182.3,234.2
Oregon St,199.0,235.7
Northwestern,180.0,235.9
Maryland,268.0,236.6
Louisiana,169.7,236.8
Ohio,168.3,237.5
Duke,194.7,238.3
NC State,302.0,238.8
Mississippi St,281.0,238.9
Toledo,234.3,238.9
Washington St,236.7,240.3
Marshall,267.0,240.5
Texas A&M,198.3,241.0
Tennessee,197.7,242.3
Troy,183.3,242.6
South Carolina,188.0,242.9
Indiana,279.0,245.0
Mississippi,289.7,245.8
New Mexico St,250.0,246.3
UAB,249.3,248.0
Navy,328.3,248.1
Cincinnati,231.7,248.9
Utah St,255.0,251.0
Arizona St,276.0,255.4
Nevada,254.0,257.0
Auburn,279.7,257.3
E Carolina,326.0,258.0
Southern Miss,354.3,258.4
Colorado,229.0,259.8
Akron,249.0,261.7
USC,218.7,262.0
Michigan,184.3,263.7
San Jose St,319.0,265.9
Oklahoma St,286.0,275.5
Baylor,356.0,281.5
Memphis,288.0,288.8
Rice,304.3,303.7
Texas Tech,284.0,308.3
Louisiana Tech,313.7,316.5
Tulsa,267.3,316.8
