team,L3,Year
Oregon St,8.8,8.8
Stanford,7.9,7.9
Alabama,7.8,7.8
Oregon,7.8,7.8
Arkansas,7.6,7.6
South Carolina,7.6,7.6
Auburn,7.5,7.5
Oklahoma,6.9,6.9
Arizona St,6.2,6.2
LSU,6.1,6.1
USC,5.9,5.9
Florida St,5.3,5.3
Washington,5.3,5.3
Florida,5.3,5.3
California,5.1,5.1
Georgia,5.1,5.1
Texas A&M,4.9,4.9
Mississippi St,4.9,4.9
UCLA,4.7,4.7
Miami,4.6,4.6
Arizona,4.5,4.5
Virginia Tech,4.5,4.5
Boise St,4.1,4.1
Nebraska,4.0,4.0
Ohio St,3.7,3.7
Missouri,3.4,3.4
Clemson,3.2,3.2
Tennessee,2.7,2.7
NC State,2.7,2.7
Oklahoma St,2.6,2.6
Notre Dame,2.4,2.4
Wisconsin,2.1,2.1
Pittsburgh,2.0,2.0
North Carolina,1.9,1.9
Iowa,1.6,1.6
Washington St,1.3,1.3
Kentucky,1.2,1.2
TCU,1.1,1.1
Colorado,1.0,1.0
Maryland,0.9,0.9
Iowa St,0.8,0.8
Texas,0.7,0.7
Utah,0.7,0.7
Texas Tech,0.7,0.7
Michigan,0.6,0.6
Illinois,0.3,0.3
West Virginia,0.2,0.2
Baylor,0.1,0.1
Cincinnati,0.1,0.1
BYU,-0.5,-0.5
Kansas St,-0.5,-0.5
Air Force,-0.6,-0.6
Nevada,-0.6,-0.6
Georgia Tech,-0.6,-0.6
Michigan St,-0.6,-0.6
Penn St,-0.7,-0.7
Minnesota,-0.9,-0.9
Boston College,-1.0,-1.0
S Florida,-1.0,-1.0
Louisville,-1.4,-1.4
Mississippi,-1.5,-1.5
Vanderbilt,-1.5,-1.5
Wake Forest,-1.6,-1.6
UConn,-1.9,-1.9
Duke,-2.3,-2.3
Hawai'i,-2.4,-2.4
Virginia,-3.1,-3.1
Syracuse,-3.5,-3.5
Rutgers,-3.8,-3.8
San Diego St,-3.9,-3.9
E Carolina,-4.2,-4.2
Northwestern,-4.5,-4.5
Navy,-4.5,-4.5
UNLV,-4.7,-4.7
Fresno St,-4.8,-4.8
Kansas,-5.0,-5.0
SMU,-5.0,-5.0
Purdue,-5.3,-5.3
Houston,-5.7,-5.7
Louisiana Tech,-5.9,-5.9
Memphis,-6.3,-6.3
Wyoming,-6.4,-6.4
Tulsa,-6.5,-6.5
Indiana,-6.6,-6.6
Idaho,-7.0,-7.0
Utah St,-7.1,-7.1
Southern Miss,-7.3,-7.3
Colorado St,-7.7,-7.7
UCF,-7.7,-7.7
Rice,-7.7,-7.7
Toledo,-8.3,-8.3
N Illinois,-8.3,-8.3
C Michigan,-8.3,-8.3
Army,-8.5,-8.5
Marshall,-8.6,-8.6
UAB,-9.0,-9.0
Florida Intl,-9.0,-9.0
Temple,-9.0,-9.0
Arkansas St,-9.3,-9.3
Bowling Green,-9.3,-9.3
W Michigan,-9.5,-9.5
Tulane,-9.9,-9.9
E Michigan,-10.0,-10.0
Miami OH,-10.1,-10.1
Louisiana,-10.3,-10.3
New Mexico,-10.3,-10.3
Troy,-10.4,-10.4
Florida Atlantic,-10.5,-10.5
San Jose St,-10.5,-10.5
W Kentucky,-11.1,-11.1
Kent St,-11.3,-11.3
N Texas,-11.7,-11.7
New Mexico St,-11.9,-11.9
UL Monroe,-12.0,-12.0
Akron,-13.3,-13.3
Ohio,-13.4,-13.4
UTEP,-13.8,-13.8
Middle Tenn,-14.6,-14.6
Buffalo,-15.3,-15.3
Ball St,-15.4,-15.4
