team,L3,Year
Vanderbilt,0.0,0.0
Oklahoma,0.0,0.0
Washington,0.0,0.0
Nebraska,0.0,0.0
Alabama,0.0,0.0
Coastal Car,0.0,0.0
Kent St,0.0,0.0
S Alabama,0.0,0.0
Stanford,0.0,0.0
LSU,0.0,0.0
Arizona St,0.0,0.0
App State,0.0,0.0
Virginia Tech,0.0,0.0
Ohio St,0.0,0.0
Texas A&M,0.0,0.0
S Florida,0.0,0.0
BYU,1.0,1.0
Boston College,1.0,1.0
Minnesota,1.0,1.0
Maryland,1.0,1.0
N Illinois,1.0,1.0
South Carolina,1.0,1.0
West Virginia,1.0,1.0
Middle Tenn,1.0,1.0
Mississippi,1.0,1.0
Clemson,1.0,1.0
Kentucky,1.0,1.0
Notre Dame,1.0,1.0
UTEP,1.0,1.0
Illinois,1.0,1.0
Buffalo,1.0,1.0
Bowling Green,1.0,1.0
W Michigan,1.0,1.0
Georgia So,1.0,1.0
Hawai'i,1.0,1.0
Nevada,1.0,1.0
Penn St,1.0,1.0
Temple,1.0,1.0
Akron,1.0,1.0
Northwestern,1.0,1.0
Memphis,2.0,2.0
USC,2.0,2.0
UMass,2.0,2.0
Arkansas St,2.0,2.0
Marshall,2.0,2.0
Wisconsin,2.0,2.0
Oklahoma St,2.0,2.0
California,2.0,2.0
Texas,2.0,2.0
Wyoming,2.0,2.0
Rice,2.0,2.0
Ball St,2.0,2.0
Florida Atlantic,2.0,2.0
Colorado,2.0,2.0
Boise St,2.0,2.0
New Mexico St,2.0,2.0
Georgia,2.0,2.0
Tulsa,2.0,2.0
Rutgers,2.0,2.0
UCF,2.0,2.0
Michigan,2.0,2.0
Miami OH,2.0,2.0
E Michigan,2.0,2.0
Navy,2.0,2.0
NC State,2.0,2.0
Colorado St,2.5,2.5
San Jose St,3.0,3.0
Southern Miss,3.0,3.0
Charlotte,3.0,3.0
Indiana,3.0,3.0
Michigan St,3.0,3.0
North Carolina,3.0,3.0
Louisville,3.0,3.0
Florida St,3.0,3.0
Troy,3.0,3.0
Auburn,3.0,3.0
UCLA,3.0,3.0
Florida,3.0,3.0
Iowa,4.0,4.0
Florida Intl,4.0,4.0
Purdue,4.0,4.0
UL Monroe,4.0,4.0
Utah St,4.0,4.0
Oregon St,5.0,5.0
