team,L3,Year
Kansas,1.7,3.4
Boston College,3.0,2.8
Florida,3.0,2.8
Utah St,3.0,2.8
Georgia So,2.7,2.5
Oregon,2.3,2.5
New Mexico,2.7,2.5
S Florida,2.3,2.5
Syracuse,3.0,2.4
Akron,2.3,2.3
San Jose St,2.0,2.3
Fresno St,2.7,2.3
Texas St,1.7,2.3
Illinois,2.3,2.3
California,1.7,2.3
Alabama,2.3,2.2
Indiana,2.7,2.2
UTSA,3.0,2.0
N Texas,1.0,2.0
Temple,2.3,2.0
Ohio,1.7,2.0
Miami,3.0,2.0
Arkansas St,2.3,2.0
UAB,2.7,2.0
UCF,1.7,2.0
Georgia Tech,2.7,2.0
Louisiana Tech,1.3,2.0
Utah,2.0,2.0
N Illinois,2.0,1.8
S Alabama,0.7,1.8
Notre Dame,1.3,1.8
Vanderbilt,1.0,1.8
Troy,1.7,1.8
Wisconsin,1.3,1.8
Kent St,2.3,1.8
Kentucky,2.3,1.8
Buffalo,1.7,1.8
Michigan St,2.0,1.8
Maryland,1.7,1.8
E Michigan,2.0,1.8
Nevada,1.3,1.8
Iowa,1.7,1.8
Virginia Tech,0.7,1.8
NC State,2.0,1.8
Houston,2.0,1.8
Tulsa,2.0,1.8
West Virginia,2.3,1.8
Southern Miss,1.7,1.7
Texas,2.3,1.7
Miami OH,2.7,1.7
Ohio St,1.0,1.7
New Mexico St,2.3,1.7
Memphis,2.0,1.6
Colorado St,1.7,1.6
Minnesota,1.7,1.6
Kansas St,2.0,1.6
Ball St,1.3,1.6
Mississippi,2.0,1.6
Boise St,1.0,1.6
LSU,1.3,1.6
Georgia,1.3,1.6
Tulane,1.0,1.6
Auburn,2.0,1.6
Pittsburgh,1.3,1.6
San Diego St,1.7,1.5
W Kentucky,1.7,1.5
Virginia,1.7,1.5
Florida Intl,1.7,1.5
Duke,1.3,1.5
Navy,1.7,1.5
SMU,1.7,1.4
C Michigan,1.0,1.4
Wake Forest,1.7,1.4
South Carolina,1.7,1.4
Oklahoma St,1.7,1.4
Purdue,2.0,1.4
Iowa St,2.0,1.4
Arizona,2.3,1.4
Georgia St,1.7,1.4
Penn St,1.0,1.4
Air Force,1.3,1.3
Marshall,1.7,1.3
Charlotte,1.0,1.3
UNLV,1.7,1.3
Middle Tenn,1.7,1.3
Cincinnati,1.3,1.2
Washington,1.0,1.2
Mississippi St,1.3,1.2
Liberty,1.3,1.2
Clemson,1.0,1.2
Arizona St,0.7,1.2
Rutgers,1.3,1.2
UMass,1.3,1.2
Oregon St,0.7,1.0
App State,1.0,1.0
UCLA,1.0,1.0
Rice,1.0,1.0
UL Monroe,0.3,1.0
Colorado,1.0,1.0
BYU,0.7,1.0
W Michigan,1.3,1.0
Old Dominion,1.0,1.0
Wyoming,1.0,1.0
Michigan,1.0,1.0
Army,0.3,1.0
Stanford,0.7,1.0
Florida Atlantic,1.3,1.0
Missouri,1.0,1.0
Toledo,1.3,1.0
Arkansas,0.7,1.0
Oklahoma,1.0,0.8
Nebraska,0.7,0.8
UTEP,0.7,0.8
Bowling Green,0.0,0.8
Louisville,0.7,0.8
Baylor,1.0,0.8
Northwestern,0.3,0.8
Florida St,1.3,0.8
Coastal Car,1.0,0.8
Texas Tech,0.7,0.8
E Carolina,1.0,0.8
North Carolina,1.0,0.8
Washington St,0.3,0.6
USC,0.7,0.6
Tennessee,0.3,0.5
TCU,0.3,0.5
Hawai'i,0.0,0.5
Louisiana,0.3,0.5
UConn,0.7,0.4
Texas A&M,0.3,0.4
