team,L3,Year
Indiana,100.0,100.0
Ohio St,100.0,100.0
Texas A&M,100.0,100.0
Mississippi,90.0,90.0
Texas Tech,90.0,90.0
Georgia Tech,88.9,88.9
Alabama,88.9,88.9
J Madison,88.9,88.9
BYU,88.9,88.9
Oregon,88.9,88.9
Georgia,88.9,88.9
N Texas,88.9,88.9
Houston,80.0,80.0
Vanderbilt,80.0,80.0
Memphis,80.0,80.0
Virginia,80.0,80.0
Notre Dame,77.8,77.8
Oklahoma,77.8,77.8
Texas,77.8,77.8
San Diego St,77.8,77.8
Tulane,77.8,77.8
UNLV,77.8,77.8
Louisville,77.8,77.8
Utah,77.8,77.8
W Kentucky,77.8,77.8
Michigan,77.8,77.8
Southern Miss,77.8,77.8
S Florida,77.8,77.8
Navy,77.8,77.8
Miami,77.8,77.8
Pittsburgh,77.8,77.8
USC,77.8,77.8
Kennesaw St,77.8,77.8
Cincinnati,77.8,77.8
Nebraska,70.0,70.0
Hawai'i,70.0,70.0
UConn,70.0,70.0
SMU,70.0,70.0
Old Dominion,70.0,70.0
Missouri,66.7,66.7
E Carolina,66.7,66.7
Iowa,66.7,66.7
Arizona St,66.7,66.7
Boise St,66.7,66.7
Minnesota,66.7,66.7
Arizona,66.7,66.7
Coastal Car,66.7,66.7
Washington,66.7,66.7
Missouri St,66.7,66.7
Tennessee,66.7,66.7
Illinois,66.7,66.7
Fresno St,66.7,66.7
Wake Forest,66.7,66.7
TCU,66.7,66.7
Jacksonville St,66.7,66.7
New Mexico,66.7,66.7
California,60.0,60.0
W Michigan,60.0,60.0
C Michigan,60.0,60.0
Iowa St,60.0,60.0
Troy,60.0,60.0
Ohio,60.0,60.0
Toledo,60.0,60.0
Army,55.6,55.6
Delaware,55.6,55.6
NC State,55.6,55.6
Louisiana Tech,55.6,55.6
Duke,55.6,55.6
Baylor,55.6,55.6
LSU,55.6,55.6
Utah St,55.6,55.6
Northwestern,55.6,55.6
Temple,50.0,50.0
Rice,50.0,50.0
Miami OH,50.0,50.0
Arkansas St,50.0,50.0
Rutgers,50.0,50.0
Kansas,50.0,50.0
Mississippi St,50.0,50.0
Buffalo,50.0,50.0
Maryland,44.4,44.4
Clemson,44.4,44.4
North Carolina,44.4,44.4
Marshall,44.4,44.4
Florida St,44.4,44.4
Kansas St,44.4,44.4
Liberty,44.4,44.4
Wyoming,44.4,44.4
Washington St,44.4,44.4
Ball St,44.4,44.4
Kentucky,44.4,44.4
Florida Atlantic,44.4,44.4
UCF,44.4,44.4
App State,44.4,44.4
Georgia So,44.4,44.4
UTSA,44.4,44.4
Florida Intl,44.4,44.4
Kent St,40.0,40.0
Auburn,40.0,40.0
West Virginia,40.0,40.0
Louisiana,40.0,40.0
Akron,36.4,36.4
San Jose St,33.3,33.3
South Carolina,33.3,33.3
UL Monroe,33.3,33.3
New Mexico St,33.3,33.3
UCLA,33.3,33.3
Penn St,33.3,33.3
Virginia Tech,33.3,33.3
Air Force,33.3,33.3
Michigan St,33.3,33.3
Florida,33.3,33.3
Texas St,33.3,33.3
UAB,33.3,33.3
Colorado,30.0,30.0
Bowling Green,30.0,30.0
N Illinois,30.0,30.0
E Michigan,30.0,30.0
Wisconsin,30.0,30.0
Syracuse,30.0,30.0
Stanford,30.0,30.0
S Alabama,22.2,22.2
Arkansas,22.2,22.2
Colorado St,22.2,22.2
UTEP,22.2,22.2
Tulsa,22.2,22.2
Oregon St,20.0,20.0
Purdue,20.0,20.0
Nevada,11.1,11.1
Middle Tenn,11.1,11.1
Charlotte,11.1,11.1
Sam Houston,11.1,11.1
Oklahoma St,11.1,11.1
Georgia St,11.1,11.1
Boston College,10.0,10.0
UMass,0.0,0.0
