team,L3,Year
Washington St,413.7,430.0
LSU,313.7,361.9
Hawai'i,357.7,360.3
Alabama,268.7,338.6
San Jose St,323.3,337.8
Iowa St,329.7,335.6
Oklahoma,331.0,335.3
Troy,339.3,322.0
UCF,315.7,321.0
SMU,372.0,318.6
Southern Miss,318.3,318.3
Wake Forest,342.0,313.7
Texas,310.0,308.8
Louisiana Tech,322.3,304.4
Colorado St,332.0,301.8
Purdue,255.7,301.6
Arizona,298.0,300.6
USC,305.7,292.6
Indiana,318.3,291.4
N Texas,367.0,290.4
Liberty,314.3,290.1
Arkansas St,256.0,289.3
Baylor,313.7,285.3
Texas Tech,290.7,284.7
Boise St,237.7,283.9
BYU,286.7,278.8
North Carolina,309.3,277.4
Memphis,338.0,276.5
E Michigan,292.7,276.3
Tulsa,274.0,272.2
Clemson,285.7,271.8
Florida,256.0,271.6
Oregon,256.0,270.0
E Carolina,356.7,266.7
Florida St,232.7,265.4
Florida Atlantic,297.3,265.4
Miami,222.3,261.4
UAB,242.7,260.4
Notre Dame,213.0,255.8
Colorado,220.0,254.7
Virginia,256.3,250.8
Oregon St,223.7,249.0
Utah St,227.3,247.9
Syracuse,239.0,247.8
Iowa,241.7,246.9
NC State,239.7,246.4
Pittsburgh,194.0,246.4
W Kentucky,321.0,246.4
Texas A&M,214.7,245.3
C Michigan,286.3,245.1
Missouri,211.0,244.4
Washington,282.7,243.3
W Michigan,168.0,242.0
Penn St,162.7,239.1
N Illinois,178.3,238.5
UCLA,198.0,235.7
Michigan St,173.0,233.0
Georgia,203.0,232.6
Minnesota,183.3,232.0
Ohio St,191.3,230.5
Kansas,301.7,229.9
Nevada,257.3,229.5
Temple,229.3,229.0
Utah,239.0,228.5
Arizona St,218.3,228.3
Stanford,249.3,228.0
Louisville,178.3,226.9
New Mexico St,195.7,226.6
UL Monroe,180.7,226.4
Coastal Car,199.3,223.3
Nebraska,229.7,222.7
Texas St,199.3,222.4
Ohio,244.3,222.4
Fresno St,217.7,221.9
Arkansas,130.0,221.3
Ball St,190.0,219.7
Michigan,195.3,219.2
West Virginia,181.7,218.1
South Carolina,241.3,217.5
Tennessee,216.3,215.9
Virginia Tech,186.3,215.8
Florida Intl,210.7,215.4
UNLV,264.0,215.1
TCU,232.7,212.6
App State,224.3,210.3
Marshall,235.0,210.3
UConn,229.3,210.1
Charlotte,242.7,209.9
Oklahoma St,198.3,209.8
Tulane,220.3,208.6
Auburn,230.0,205.8
Houston,254.7,205.8
Cincinnati,198.7,204.3
New Mexico,244.3,203.5
Akron,105.0,202.7
Boston College,126.0,202.0
Georgia St,181.0,201.3
Middle Tenn,140.0,198.4
Wisconsin,184.0,195.5
Kent St,206.7,195.4
Vanderbilt,127.0,191.3
Mississippi St,204.0,190.8
Louisiana,165.0,188.1
San Diego St,160.7,187.0
Maryland,148.3,187.0
Mississippi,163.3,184.1
Toledo,189.7,178.9
Miami OH,237.0,174.3
Duke,174.3,172.9
UMass,198.0,169.0
California,141.7,168.3
Kansas St,171.3,165.9
S Florida,121.3,163.1
Illinois,106.7,162.8
Rice,152.3,161.0
Kentucky,56.0,154.0
Buffalo,150.7,151.5
Bowling Green,140.7,146.6
Old Dominion,138.0,146.6
UTEP,165.7,145.1
Georgia Tech,150.7,144.3
S Alabama,143.0,143.4
Rutgers,108.7,143.2
Wyoming,138.7,135.6
UTSA,148.0,132.7
Northwestern,97.3,124.3
Air Force,69.7,116.9
Navy,85.3,98.3
Army,127.3,92.1
Georgia So,26.7,42.0
