team,L3,Year
LSU,50.0,44.1
USC,29.7,41.8
Oklahoma,41.3,41.7
Oregon,37.0,41.1
Liberty,46.7,40.8
Georgia,39.3,39.5
Memphis,38.3,38.0
Notre Dame,47.0,37.8
Washington,26.7,37.7
Michigan,29.0,36.7
Kansas St,31.3,36.4
SMU,33.0,36.4
Texas,44.0,36.2
Arizona,46.3,34.3
Penn St,31.3,34.0
J Madison,33.3,33.8
UNLV,29.0,33.7
Kansas,41.7,33.7
N Texas,33.7,33.5
Texas St,42.7,33.3
S Alabama,43.7,32.9
Texas A&M,34.7,32.9
Florida St,14.3,32.8
Alabama,34.3,32.5
North Carolina,16.7,32.5
Missouri,31.7,32.3
App State,30.3,32.3
UTSA,33.3,31.9
Mississippi,30.0,31.9
Louisiana,35.7,31.7
Tennessee,21.7,31.6
S Florida,38.0,31.4
Boise St,31.0,31.4
TCU,37.7,30.5
Fresno St,24.0,30.2
California,24.7,30.2
Ohio St,21.3,30.2
Miami,33.3,30.1
Oregon St,11.7,29.9
UCF,22.3,29.9
Georgia So,21.7,29.8
Oklahoma St,30.7,29.8
Georgia Tech,28.0,29.7
San Jose St,25.0,29.6
Virginia Tech,41.3,29.5
UAB,27.3,29.5
Utah St,25.3,29.4
West Virginia,35.3,29.4
Toledo,20.3,29.3
Kentucky,29.0,29.2
Maryland,32.3,29.0
Louisville,21.7,28.8
Washington St,38.7,28.7
W Kentucky,35.7,28.7
Jacksonville St,35.7,28.6
Troy,31.3,28.2
Colorado,20.7,28.2
Rice,24.3,27.1
Clemson,28.3,26.8
Arkansas St,39.0,26.8
Air Force,25.7,26.7
Florida,27.0,26.5
Texas Tech,21.7,26.3
N Illinois,27.3,26.1
Georgia St,27.7,26.0
Iowa St,28.0,25.9
Duke,24.7,25.7
Tulane,21.0,25.6
New Mexico St,21.7,25.3
Bowling Green,29.7,25.2
Old Dominion,26.7,25.0
Wyoming,33.3,24.8
Colorado St,25.3,24.7
NC State,31.0,24.7
New Mexico,26.7,24.6
Auburn,15.7,24.6
Coastal Car,19.7,24.5
Illinois,34.7,24.5
Boston College,19.7,24.3
South Carolina,23.7,24.1
Ohio,33.3,24.1
Purdue,33.0,23.9
Arkansas,22.7,23.9
UCLA,26.7,23.8
Houston,19.0,23.7
Louisiana Tech,24.7,23.6
Middle Tenn,31.3,23.3
Marshall,17.3,22.9
Virginia,23.7,22.9
Miami OH,16.3,22.8
Wisconsin,20.7,22.8
W Michigan,16.0,22.6
Utah,16.0,22.5
UMass,21.3,22.5
Baylor,24.3,22.5
Florida Atlantic,12.0,22.1
Northwestern,27.3,22.0
Tulsa,26.3,21.7
Southern Miss,23.7,21.6
BYU,23.7,21.5
C Michigan,21.7,21.2
Minnesota,15.7,20.9
Rutgers,20.3,20.8
Vanderbilt,15.0,20.6
Florida Intl,18.0,20.6
Hawai'i,21.0,20.6
Indiana,32.3,20.5
Stanford,18.3,20.4
Cincinnati,20.3,20.3
Syracuse,19.0,20.1
Sam Houston,29.3,19.6
Buffalo,10.3,19.5
Mississippi St,19.3,19.5
Temple,22.7,19.3
UTEP,23.7,19.2
San Diego St,21.7,19.1
Wake Forest,14.7,18.7
E Michigan,21.3,18.4
Nevada,16.7,18.4
Nebraska,12.3,18.0
UConn,13.3,18.0
Pittsburgh,18.7,17.9
Army,22.7,17.2
Arizona St,17.7,17.2
Navy,11.7,17.1
Charlotte,19.7,16.9
UL Monroe,12.7,16.7
Iowa,9.3,16.6
Ball St,23.0,15.8
Akron,13.7,15.5
E Carolina,16.3,14.9
Michigan St,9.0,13.3
Kent St,16.3,12.5
